pageurl,crawl_timestamp,job_title,category,company_name,city,post_day,post_month,post_year,post_date,job_type,job_board,geo,salary_offered_min,salary_offered_max,Mean_Salary,state,lat,long
https://www.seek.com.au/job/36210729,2018-05-14 01:43:23 +0000,Maintenance / Gardening Officer - Seasons Aged Care,Trades & Services,Seasons,Brisbane,13,May,2018,13-May-18,Full Time,seek,AU,"80,000","84,999",82499.5,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36210495,2018-05-14 01:50:18 +0000,Store Manager - Leading Menswear Retailer in Perth,Retail & Consumer Products,yd. Pty. Ltd,Perth,13,May,2018,13-May-18,Full Time,seek,AU,"45,000","55,000",50000,WA,-25.042261,117.793221
https://www.seek.com.au/job/37600184,2018-10-31 01:34:15 +0000,Support Officer - APS5,Government & Defence,Private Advertiser,ACT,31,October,2018,31-Oct-18,Contract/Temp,seek,AU,45,55,50,ACT,-35.282001,149.128998
https://www.seek.com.au/job/37599863,2018-10-31 01:44:24 +0000,"Mechanical, Medical Devices Engineer, Scientist , Researchers - Patent Examiners",Government & Defence,IP Australia,ACT,30,October,2018,30-Oct-18,Full Time,seek,AU,"76,583","1,07,217",91900,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36210934,2018-05-14 01:32:51 +0000,Orthopaedics Territory Manager NSW,Healthcare & Medical,EvansPetersen Healthcare Pty Ltd,Sydney,13,May,2018,13-May-18,Full Time,seek,AU,"60,000","65,000",62500,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36210304,2018-05-14 01:39:46 +0000,Lead Educator,Education & Training,G8 Education,Brisbane,13,May,2018,13-May-18,Full Time,seek,AU,"82,577","89,464",86020.5,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36212188,2018-05-14 01:27:50 +0000,Engineer and Senior Engineer Network Development,Engineering,Australian Energy Market Operator (AEMO),Brisbane,13,May,2018,13-May-18,Full Time,seek,AU,"1,10,000","1,30,000",120000,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36211454,2018-05-14 01:30:13 +0000,Service Desk Analyst,Information & Communication Technology,Fletcher Building Limited,Sydney,13,May,2018,13-May-18,Full Time,seek,AU,"90,000","95,000",92500,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36210516,2018-05-14 01:55:41 +0000,Big Data Architect,Information & Communication Technology,Hydrogen Group Pty Ltd,Sydney,13,May,2018,13-May-18,Full Time,seek,AU,"1,30,000","1,70,000",150000,NSW,-31.840233,145.612793
https://www.seek.com.au/job/37599520,2018-10-31 02:01:12 +0000,APS4 Governance Officer - Long Term Role!,Government & Defence,PCA People,ACT,30,October,2018,30-Oct-18,Full Time,seek,AU,"76,583","1,07,217",91900,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36210139,2018-05-14 01:52:18 +0000,5 x Senior Store Managers --> SYDNEY WEST <-- Athleisure lifestyle + EPIC KICKS!,Retail & Consumer Products,CLIMB Retail Recruitment,Sydney,13,May,2018,13-May-18,Full Time,seek,AU,"50,000","60,000",55000,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36212862,2018-05-14 01:15:36 +0000,Mechanical TA,Trades & Services,Programmed Skilled Workforce,Melbourne,13,May,2018,13-May-18,Contract/Temp,seek,AU,30,35,32.5,VIC,"	-37.020100",144.9646
